© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Post-translational protein phosphorylation	4.4E00	8.41E-02	NaN	C4A,FBN1,FN1,GAS6,IGFBP4,LTBP1,MXRA8,TNC,VCAN	
Pulmonary Healing Signaling Pathway	4.17E00	5.97E-02	NaN	MAPK11,MMP11,PECAM1,SMO,STAT5A,TCF7L1,TGFB2,TGFB3,THBS1,TNFRSF11B,WNT10B,WNT2B	
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	4.04E00	5.42E-02	NaN	COL1A1,MMP11,PTGS2,SMAD6,SMO,STAT5A,TCF7L1,TGFB2,TGFB3,TNFRSF11B,TNFSF10,WNT10B,WNT2B	
Tumor Microenvironment Pathway	3.96E00	6.11E-02	NaN	COL1A1,COL1A2,COL3A1,FGF14,FN1,MMP11,PDGFD,PTGS2,TGFB2,TGFB3,TNC	
Regulation of the Epithelial-Mesenchymal Transition Pathway	3.67E00	5.67E-02	NaN	FGF14,ID2,PDGFD,PDGFRB,SMO,SNAI1,TCF7L1,TGFB2,TGFB3,WNT10B,WNT2B	
Apelin Liver Signaling Pathway	3.67E00	2E-01	NaN	APLN,COL1A1,COL1A2,PDGFRB	
IL-17A Signaling in Fibroblasts	3.64E00	8.75E-02	NaN	CEBPD,COL1A1,COL1A2,FN1,MAPK11,P4HA1,SERPINH1	
CDX Gastrointestinal Cancer Signaling Pathway	3.61E00	5.58E-02	NaN	DLL1,MAPK11,PTGS2,SMO,SNAI1,TCF7L1,TGFB2,TGFB3,TNFSF10,WNT10B,WNT2B	
ILK Signaling	3.61E00	5.58E-02	NaN	ACTC1,ACTG2,FN1,ITGB8,KRT18,LIMS2,MUC1,PTGS2,RHOJ,SNAI1,TGFB1I1	
Cardiac Hypertrophy Signaling (Enhanced)	3.58E00	3.72E-02	NaN	CACNA2D1,FGF14,HSPB3,ITGA10,ITGA11,ITGB8,MAPK11,OPN1SW,PDE1C,PDE5A,PDE7B,PDK1,PTGS2,SMO,TGFB2,TGFB3,TNFRSF11B,TNFSF10,WNT10B,WNT2B	
Regulation of the Epithelial Mesenchymal Transition in Development Pathway	3.45E00	8.14E-02	NaN	PTCH2,S100A4,SMO,SNAI1,TCF7L1,WNT10B,WNT2B	
Apelin Cardiac Fibroblast Signaling Pathway	3.42E00	1.74E-01	NaN	APLN,SERPINE1,TGFB2,TGFB3	
NCAM signaling for neurite out-growth	3.4E00	9.52E-02	NaN	COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,ST8SIA4	
Activin Inhibin Signaling Pathway	3.34E00	5.19E-02	NaN	COL1A1,COL1A2,EGLN3,MAPK11,PTGS2,SERPINE1,SNAI1,TCF7L1,TGFB2,TGFB3,TNFRSF11B	
Intrinsic Prothrombin Activation Pathway	3.31E00	1.16E-01	NaN	COL18A1,COL1A1,COL1A2,COL3A1,PROS1	
Bile acid and bile salt metabolism	3.22E00	1.11E-01	NaN	AKR1C1,AKR1C2,AKR1C3,CYP39A1,STARD5	
Reversible hydration of carbon dioxide	3.15E00	2.5E-01	NaN	CA12,CA14,CA9	
Glycosaminoglycan metabolism	3.09E00	6.25E-02	NaN	CEMIP,CHST15,CHSY3,DCN,GPC6,HAS1,LUM,VCAN	
GP6 Signaling Pathway	3.09E00	6.25E-02	NaN	COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2	
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	3.07E00	5.15E-02	NaN	FGF14,ID2,MAPK11,PDGFD,PDGFRB,SNAI1,TGFB2,TGFB3,TNFRSF11B,TNFSF10	
Pathogen Induced Cytokine Storm Signaling Pathway	3.05E00	3.93E-02	NaN	CCL5,COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,MAPK11,STAT5A,TGFB2,TGFB3,TNFRSF11B,TNFSF10	
Complement cascade	2.92E00	5.88E-02	NaN	C1R,C1S,C4A,C4B,CFH,CFI,PROS1,VTN	
Signaling by MET	2.87E00	7.59E-02	NaN	COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,FN1	
Signaling by TGF-beta Receptor Complex	2.85E00	9.26E-02	NaN	FBN1,ITGB8,LTBP1,TGFB2,TGFB3	
Platelet Adhesion to exposed collagen	2.77E00	1.88E-01	NaN	COL1A1,COL1A2,ITGA10	
Semaphorin Neuronal Repulsive Signaling Pathway	2.71E00	5.44E-02	NaN	DPYSL3,ITGA10,ITGA11,ITGB8,NRP2,PLXND1,SEMA6C,VCAN	
S100 Family Signaling Pathway	2.63E00	2.94E-02	NaN	ADGRE1,BDKRB2,CACNA2D1,CATSPER2,CYSLTR2,F2RL1,FPR1,GPR37,MAPK11,MMP11,NPY4R,OPN1SW,OPRL1,S100A4,SMAD6,SMO,SUCNR1,TCF7L1,TGFB2,TGFB3,TPM2,WNT10B,WNT2B	
Inhibition of Matrix Metalloproteases	2.58E00	1.05E-01	NaN	MMP11,RECK,THBS2,TIMP3	
Axonal Guidance Signaling	2.56E00	3.29E-02	NaN	EFNA3,ITGA10,ITGA11,ITGB8,MMP11,NRP2,OPN1SW,PAPPA2,PDGFD,PLXND1,PTCH2,SEMA3C,SEMA6C,SLIT3,SMO,WNT10B,WNT2B	
Bile Acid Biosynthesis, Neutral Pathway	2.54E00	1.58E-01	NaN	AKR1C1,AKR1C2,AKR1C3	
RAR Activation	2.53E00	3.46E-02	NaN	AKR1C3,COL1A1,COL1A2,COL3A1,HSD17B6,MAPK11,MMP11,PDE1C,PDE5A,PDE7B,RHOJ,STAT5A,TGFB2,TGFB3,TNFSF10	
Leukocyte Extravasation Signaling	2.5E00	4.64E-02	NaN	ACTC1,ACTG2,EDIL3,JAM2,MAPK11,MMP11,OPN1SW,PECAM1,TIMP3	
Microautophagy Signaling Pathway	2.49E00	5.03E-02	NaN	COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2	
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway	2.42E00	3.79E-02	NaN	COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,MAPK11,MMP11,RHOJ,TNFRSF11B	
Human Embryonic Stem Cell Pluripotency	2.42E00	4.5E-02	NaN	ID2,PDGFD,PDGFRB,SMAD6,SMO,TGFB2,TGFB3,WNT10B,WNT2B	
HOTAIR Regulatory Pathway	2.4E00	4.85E-02	NaN	COL1A1,COL1A2,COL3A1,JAM2,MMP11,TCF7L1,WNT10B,WNT2B	
Smooth Muscle Contraction	2.38E00	9.3E-02	NaN	ACTG2,LMOD1,PDE5A,TPM2	
Basal Cell Carcinoma Signaling	2.33E00	7.04E-02	NaN	PTCH2,SMO,TCF7L1,WNT10B,WNT2B	
Myelination Signaling Pathway	2.31E00	3.66E-02	NaN	GPR37,ID2,ITGB8,LGI4,MYRF,PDGFD,PDGFRB,PDK1,SMAD6,SMO,WNT10B,WNT2B	
Aldosterone Signaling in Epithelial Cells	2.3E00	4.68E-02	NaN	ASIC1,DNAJC12,DNAJC22,HSPA2,HSPB3,HSPB6,KCNMB4,SMO	
WNT/β-catenin Signaling	2.27E00	4.62E-02	NaN	DKK3,GJA1,SMO,TCF7L1,TGFB2,TGFB3,WNT10B,WNT2B	
Class A/1 (Rhodopsin-like receptors)	2.27E00	3.61E-02	NaN	APLN,BDKRB2,CCL5,CYSLTR2,F2RL1,FPR1,GPR37,NMU,NPY4R,OPN1SW,OPRL1,SUCNR1	
Paxillin Signaling	2.23E00	5.66E-02	NaN	ACTC1,ACTG2,ITGA10,ITGA11,ITGB8,MAPK11	
Cell surface interactions at the vascular wall	2.23E00	4.21E-02	NaN	ANGPT1,COL1A1,COL1A2,FN1,GAS6,JAM2,PECAM1,PROS1,SELL	
G alpha (i) signalling events	2.17E00	3.88E-02	NaN	APLN,BDKRB2,CCL5,FPR1,GPR37,NMU,NPY4R,OPN1SW,OPRL1,SUCNR1	
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway	2.16E00	4.86E-02	NaN	ASIC1,CEBPD,FN1,MAPK11,MMP11,PTGS2,TNFRSF11B	
Interleukin-4 and Interleukin-13 signaling	2.14E00	5.41E-02	NaN	CEBPD,COL1A2,FN1,FSCN1,MUC1,PTGS2	
Regulation of Actin-based Motility by Rho	2.14E00	5.41E-02	NaN	ACTC1,ACTG2,ITGA10,ITGA11,ITGB8,RHOJ	
Caveolar-mediated Endocytosis Signaling	2.14E00	6.33E-02	NaN	ACTC1,ACTG2,ITGA10,ITGA11,ITGB8	
BMAL1:CLOCK,NPAS2 activates circadian gene expression	2.1E00	1.11E-01	NaN	BHLHE41,DBP,SERPINE1	
Degradation of the extracellular matrix	2.09E00	6.17E-02	NaN	DCN,FBN1,FN1,HTRA1,MMP11	
Role of JAK family kinases in IL-6-type Cytokine Signaling	2.09E00	6.17E-02	NaN	CEBPD,MAPK11,STAT5A,TGFB2,TGFB3	
Protein Kinase A Signaling	2.07E00	3.28E-02	NaN	DUSP2,OPN1SW,PDE1C,PDE5A,PDE7B,PTCH2,PTGS2,PTPRN,SMO,TCF7L1,TGFB2,TGFB3,TNS2	
Colorectal Cancer Metastasis Signaling	2.03E00	3.69E-02	NaN	MMP11,OPN1SW,PTGS2,RHOJ,SMO,TCF7L1,TGFB2,TGFB3,WNT10B,WNT2B	
Acute Phase Response Signaling	2.03E00	4.19E-02	NaN	C1R,C1S,C4A,C4B,FN1,MAPK11,SERPINE1,TNFRSF11B	
Cellular Effects of Sildenafil (Viagra)	2.01E00	2.77E-02	NaN	ACTC1,ACTG2,ADGRE1,BDKRB2,CACNA2D1,CYSLTR2,F2RL1,FPR1,GPR37,MAPK11,NPY4R,OPN1SW,OPRL1,PDE5A,RGS2,SMO,SUCNR1,TGFB2,TGFB3	
Parkinson's Signaling Pathway	2E00	3.48E-02	NaN	ACTC1,ACTG2,ATP6V1B1,CACNA2D1,CATSPER2,GPR37,MAPK11,PRKN,TGFB2,TGFB3,TNFSF10	
Corticotropin Releasing Hormone Signaling	2E00	4.52E-02	NaN	CACNA2D1,CATSPER2,MAPK11,OPN1SW,PTCH2,PTGS2,SMO	
HMGB1 Signaling	1.93E00	4.37E-02	NaN	MAPK11,RHOJ,SERPINE1,TGFB2,TGFB3,TNFRSF11B,TNFSF10	
Glutaminergic Receptor Signaling Pathway (Enhanced)	1.91E00	3.37E-02	NaN	CACNA2D1,CATSPER2,GABRE,GRIK2,KCNK2,MAPK11,PLA2R1,SCN9A,SNAP25,TGFB2,TGFB3	
Tuberculosis Latent Signaling Pathway	1.9E00	5.56E-02	NaN	OPN1SW,TGFB2,TGFB3,TNFRSF11B,TNFSF10	
PCP (Planar Cell Polarity) Pathway	1.87E00	6.67E-02	NaN	CTHRC1,SMO,WNT10B,WNT2B	
Molecular Mechanisms of Cancer	1.86E00	2.56E-02	NaN	ADGRE1,BDKRB2,CYSLTR2,F2RL1,FPR1,GPR37,ITGA10,ITGA11,ITGB8,MAPK11,MMP11,NPY4R,OPN1SW,OPRL1,PTCH2,RHOJ,SMAD6,SMO,SUCNR1,TCF7L1,TGFB2,TGFB3	
GP1b-IX-V activation signalling	1.86E00	1.67E-01	NaN	COL1A1,COL1A2	
Methylglyoxal Degradation III	1.82E00	8.82E-02	NaN	AKR1C1,AKR1C2,AKR1C3	
Role of Tissue Factor in Cancer	1.82E00	3.85E-02	NaN	F2RL1,MAPK11,PTGS2,SNAI1,STAT5A,TGFB2,TGFB3,TNFRSF11B	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	1.81E00	3.26E-02	NaN	CCL5,CEBPD,DKK3,F2RL1,FN1,PDGFD,SMO,TCF7L1,TNFRSF11B,WNT10B,WNT2B	
Class B/2 (Secretin family receptors)	1.81E00	5.26E-02	NaN	ADGRE1,PTCH2,SMO,WNT10B,WNT2B	
GPVI-mediated activation cascade	1.79E00	8.57E-02	NaN	COL1A1,COL1A2,PDPN	
Coagulation System	1.79E00	8.57E-02	NaN	BDKRB2,PROS1,SERPINE1	
Platelet Aggregation (Plug Formation)	1.79E00	1.54E-01	NaN	COL1A1,COL1A2	
Dissolution of Fibrin Clot	1.79E00	1.54E-01	NaN	SERPINE1,SERPINE2	
TGF-β Signaling	1.78E00	5.15E-02	NaN	MAPK11,SERPINE1,SMAD6,TGFB2,TGFB3	
Atherosclerosis Signaling	1.73E00	4.41E-02	NaN	COL18A1,COL1A1,COL1A2,COL3A1,PDGFD,PLA2R1	
Hematoma Resolution Signaling Pathway	1.72E00	3.47E-02	NaN	CBS,F2RL1,MAPK11,MMP11,SOD3,TGFB2,TGFB3,THBS1,TNFSF10	
RHOGDI Signaling	1.69E00	3.64E-02	NaN	ACTC1,ACTG2,CDH11,ITGA10,ITGA11,ITGB8,OPN1SW,RHOJ	
Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	1.67E00	1.33E-01	NaN	AKR1C3,PTGS2	
Tight Junction Signaling	1.66E00	3.87E-02	NaN	ACTC1,ACTG2,JAM2,SNAP25,TGFB2,TGFB3,TNFRSF11B	
Agranulocyte Adhesion and Diapedesis	1.65E00	3.57E-02	NaN	ACTC1,ACTG2,CCL5,FN1,MMP11,OPN1SW,PECAM1,SELL	
Neutrophil Extracellular Trap Signaling Pathway	1.61E00	2.93E-02	NaN	CCL5,COL18A1,COL1A1,COL1A2,COL3A1,COL5A1,COL5A2,COL6A1,COL6A2,FPR1,MAPK11,PLA2R1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.6E00	3.49E-02	NaN	COL1A1,DKK3,SMAD6,SMO,TCF7L1,TNFRSF11B,WNT10B,WNT2B	
PPAR Signaling	1.6E00	4.63E-02	NaN	PDGFD,PDGFRB,PTGS2,STAT5A,TNFRSF11B	
Neurovascular Coupling Signaling Pathway	1.57E00	3.45E-02	NaN	BDKRB2,CACNA2D1,CATSPER2,GABRE,GJA1,KCNMB4,PLA2R1,PTGS2	
Oncostatin M Signaling	1.55E00	6.98E-02	NaN	CHI3L1,STAT5A,TIMP3	
CREB Signaling in Neurons	1.54E00	2.6E-02	NaN	ADGRE1,BDKRB2,CACNA2D1,CATSPER2,CYSLTR2,F2RL1,FPR1,GPR37,GRIK2,NPY4R,OPN1SW,OPRL1,PDGFRB,SMO,SUCNR1,TGFB2	
Dilated Cardiomyopathy Signaling Pathway	1.54E00	3.97E-02	NaN	ACTC1,ACTG2,CACNA2D1,CATSPER2,MAPK11,SGCD	
WNT/SHH Axonal Guidance Signaling Pathway	1.54E00	3.97E-02	NaN	PTCH2,SEMA3C,SMO,TCF7L1,WNT10B,WNT2B	
Factors Promoting Cardiogenesis in Vertebrates	1.54E00	3.97E-02	NaN	SMO,TCF7L1,TGFB2,TGFB3,WNT10B,WNT2B	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	1.53E00	3.39E-02	NaN	ACTC1,ACTG2,GJA1,JAM2,MAPK11,TGFB2,TGFB3,TNFRSF11B	
Retinoid metabolism and transport	1.53E00	6.82E-02	NaN	AKR1C1,AKR1C3,GPC6	
Binding and Uptake of Ligands by Scavenger Receptors	1.51E00	4.39E-02	NaN	COL1A1,COL1A2,COL3A1,SPARC,SSC5D	
Lung Ionic Balance Signaling Pathway	1.51E00	2.68E-02	NaN	ADGRE1,ASIC1,BDKRB2,CYSLTR2,F2RL1,FPR1,GPR37,KCNMB4,NPY4R,OPN1SW,OPRL1,SMO,SUCNR1,TNFSF10	
Interleukin-10 signaling	1.5E00	6.67E-02	NaN	CCL5,FPR1,PTGS2	
tRNA Splicing	1.5E00	6.67E-02	NaN	PDE1C,PDE5A,PDE7B	
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	1.5E00	5.13E-02	NaN	SMO,TCF7L1,WNT10B,WNT2B	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	1.48E00	5.06E-02	NaN	CCL5,MAPK11,PLA2R1,PTGS2	
Actin Cytoskeleton Signaling	1.48E00	3.31E-02	NaN	ACTC1,ACTG2,FGF14,FN1,ITGA10,ITGA11,ITGB8,PDGFD	
Epithelial Adherens Junction Signaling	1.46E00	3.8E-02	NaN	DLL1,MAGI1,SNAI1,TCF7L1,TGFB2,TNS1	
Neuregulin Signaling	1.45E00	4.24E-02	NaN	DCN,ITGA10,ITGA11,ITGB8,STAT5A	
PAK Signaling	1.45E00	4.24E-02	NaN	ITGA10,ITGA11,ITGB8,PDGFD,PDGFRB	
Ovarian Cancer Signaling	1.44E00	3.77E-02	NaN	GJA1,PTGS2,SMO,TCF7L1,WNT10B,WNT2B	
Ephrin Receptor Signaling	1.44E00	3.47E-02	NaN	ANGPT1,EFNA3,ITGA10,ITGA11,ITGB8,OPN1SW,PDGFD	
Receptor-type tyrosine-protein phosphatases	1.43E00	1E-01	NaN	PPFIA4,SLITRK4	
Sertoli Cell-Sertoli Cell Junction Signaling	1.43E00	3.24E-02	NaN	ACTC1,ACTG2,CDH11,GJA1,JAM2,MAPK11,TGFB3,TNFRSF11B	
Natural Killer Cell Signaling	1.43E00	3.45E-02	NaN	COL18A1,COL1A1,COL1A2,COL3A1,HSPA2,MAPK11,TNFSF10	
Granulocyte Adhesion and Diapedesis	1.42E00	3.43E-02	NaN	CCL5,FPR1,MMP11,OPN1SW,PECAM1,SELL,TNFRSF11B	
Transport of bile salts and organic acids, metal ions and amine compounds	1.4E00	4.76E-02	NaN	SLC14A1,SLC30A8,SLC44A2,SLC44A3	
Role of MAPK Signaling in the Pathogenesis of Influenza	1.4E00	4.76E-02	NaN	CCL5,MAPK11,PLA2R1,PTGS2	
Transcriptional Regulatory Network in Embryonic Stem Cells	1.39E00	3.66E-02	NaN	SMO,TCF7L1,TGFB2,TGFB3,WNT10B,WNT2B	
Retinoate Biosynthesis I	1.39E00	6E-02	NaN	AKR1C2,AKR1C3,HSD17B6	
FAT10 Cancer Signaling Pathway	1.37E00	5.88E-02	NaN	TGFB2,TGFB3,TNFRSF11B	
Uracil Degradation II (Reductive)	1.34E00	3.33E-01	NaN	UPB1	
Thymine Degradation	1.34E00	3.33E-01	NaN	UPB1	
Cysteine Biosynthesis/Homocysteine Degradation	1.34E00	3.33E-01	NaN	CBS	
Phagosome Formation	1.34E00	2.41E-02	NaN	ADGRE1,BDKRB2,CYSLTR2,F2RL1,FN1,FPR1,GPR37,ITGA10,ITGA11,ITGB8,NPY4R,OPN1SW,OPRL1,PLA2R1,SMO,SUCNR1,VTN	
ABRA Signaling Pathway	1.34E00	4.55E-02	NaN	ACTC1,ACTG2,TAGLN,TPM2	
Amyloid fiber formation	1.34E00	4.55E-02	NaN	H2AB3,PRKN,TGFBI,TSPAN15	
Glycerophospholipid biosynthesis	1.33E00	3.91E-02	NaN	GPAM,LPCAT2,PLA2R1,SLC44A2,SLC44A3	
Glioblastoma Multiforme Signaling	1.32E00	3.51E-02	NaN	PDGFD,PDGFRB,RHOJ,SMO,WNT10B,WNT2B	
IL-6 Signaling	1.31E00	3.88E-02	NaN	COL1A1,HSPB3,MAPK11,TNFAIP6,TNFRSF11B	
FAK Signaling	1.31E00	2.22E-02	NaN	ADGRE1,BDKRB2,COL1A1,COL1A2,CYSLTR2,ECM2,EFNA3,F2RL1,FPR1,GPR37,ITGA10,ITGA11,ITGB8,MAPK11,NPY4R,OPN1SW,OPRL1,PDGFRB,SMO,SUCNR1,TCF7L1,TGFB2,TGFB3	
Autism Signaling Pathway	1.31E00	2.91E-02	NaN	CACNA2D1,CBS,SMO,TCF7L1,TGFB2,TGFB3,TNFSF10,WNT10B,WNT2B	
Cardiac conduction	1.3E00	3.85E-02	NaN	FGF14,KCND1,KCND2,KCNK2,SCN9A	
LXR/RXR Activation	1.3E00	3.85E-02	NaN	C4A,C4B,PTGS2,TNFRSF11B,VTN	
Actin Nucleation by ARP-WASP Complex	1.29E00	4.4E-02	NaN	ITGA10,ITGA11,ITGB8,RHOJ	
IL-22 Signaling	1.29E00	8.33E-02	NaN	MAPK11,STAT5A	
Androgen Biosynthesis	1.29E00	8.33E-02	NaN	AKR1C3,HSD17B6	
G alpha (q) signalling events	1.29E00	3.45E-02	NaN	ARHGEF25,BDKRB2,CYSLTR2,F2RL1,NMU,RGS2	
Cell junction organization	1.28E00	4.35E-02	NaN	ANG,CDH11,LIMS2,SDK1	
GABA Receptor Signaling	1.27E00	3.76E-02	NaN	CACNA2D1,CATSPER2,GABRE,GPR37,OPN1SW	
Signaling by Rho Family GTPases	1.27E00	3E-02	NaN	ACTC1,ACTG2,CDH11,ITGA10,ITGA11,ITGB8,OPN1SW,RHOJ	
Nuclear Cytoskeleton Signaling Pathway	1.26E00	3.17E-02	NaN	ACTC1,ACTG2,CDH11,FN1,ITGA10,ITGA11,ITGB8	
CSDE1 Signaling Pathway	1.26E00	5.36E-02	NaN	FN1,SNAI1,TNC	
Role of IL-17A in Arthritis	1.23E00	5.17E-02	NaN	CCL5,MAPK11,PTGS2	
WNT ligand biogenesis and trafficking	1.22E00	7.69E-02	NaN	WNT10B,WNT2B	
IL-17A Signaling in Gastric Cells	1.22E00	7.69E-02	NaN	CCL5,MAPK11	
Spermine and Spermidine Degradation I	1.22E00	2.5E-01	NaN	PAOX	
CGAS-STING Signaling Pathway	1.21E00	3.62E-02	NaN	ATP6V1B1,GJA1,TGFB2,TGFB3,TNFSF10	
Death Receptor Signaling	1.21E00	4.12E-02	NaN	ACTC1,ACTG2,HSPB3,TNFSF10	
Crosstalk between Dendritic Cells and Natural Killer Cells	1.2E00	4.08E-02	NaN	ACTC1,ACTG2,FSCN1,TNFSF10	
GADD45 Signaling	1.19E00	5E-02	NaN	MAPK11,TGFB2,TGFB3	
CDP-diacylglycerol Biosynthesis I	1.17E00	7.14E-02	NaN	GPAM,LPCAT2	
Chronic Myeloid Leukemia Signaling	1.16E00	2.85E-02	NaN	SMO,STAT5A,TCF7L1,TGFB2,TGFB3,TNFSF10,WNT10B,WNT2B	
Eicosanoid Signaling	1.16E00	2.84E-02	NaN	AKR1C3,CYSLTR2,HSPB3,KCNMB4,MAPK11,PLA2R1,PTGS2,TCF7L1	
IL-17 Signaling	1.15E00	3.17E-02	NaN	MAPK11,PTGS2,TGFB2,TGFB3,TNFRSF11B,TNFSF10	
Myogenesis	1.14E00	6.9E-02	NaN	CDON,MAPK11	
Potassium Channels	1.13E00	3.88E-02	NaN	KCND1,KCND2,KCNK2,KCNMB4	
Mouse Embryonic Stem Cell Pluripotency	1.13E00	3.88E-02	NaN	ID2,MAPK11,SMO,TCF7L1	
Gap Junction Signaling	1.13E00	2.69E-02	NaN	ACTC1,ACTG2,GJA1,GPR37,GRIK2,OPN1SW,PDGFRB,TCF7L1,TNFRSF11B	
Pyruvate Fermentation to Lactate	1.13E00	2E-01	NaN	LDHA	
